"","Curves","eqTemp","eqTime","Species","Trial","OTM"
"85","SO_T22_CopperPipe",32.9223453103235,77,"SO","T22","CopperPipe"
"86","SO_T23_Lizard",35.0952988767997,167,"SO","T23","Lizard"
"87","SO_T23_ABS",30.6887170203241,44,"SO","T23","ABS"
"88","SO_T23_PLA",30.1797315347982,42,"SO","T23","PLA"
"89","SO_T23_CopperPLA",29.4346770997687,36,"SO","T23","CopperPLA"
"90","SO_T23_CopperPipe",37.6719455360777,109,"SO","T23","CopperPipe"
"91","SO_T24_Lizard",36.5987438304847,258,"SO","T24","Lizard"
"92","SO_T24_ABS",33.5002329469464,85,"SO","T24","ABS"
"93","SO_T24_PLA",NA,NA,"SO","T24","PLA"
"94","SO_T24_CopperPLA",29.3751118758536,62,"SO","T24","CopperPLA"
"95","SO_T24_CopperPipe",30.8218246562287,142,"SO","T24","CopperPipe"
"96","SO_T25_Lizard",35.4254543188419,110,"SO","T25","Lizard"
"97","SO_T25_ABS",36.8322608759405,59,"SO","T25","ABS"
"98","SO_T25_PLA",33.6510743502786,71,"SO","T25","PLA"
"99","SO_T25_CopperPLA",32.7318787722597,51,"SO","T25","CopperPLA"
"100","SO_T25_CopperPipe",32.0267031347534,99,"SO","T25","CopperPipe"
"101","SO_T26_Lizard",NA,NA,"SO","T26","Lizard"
"102","SO_T26_ABS",8.48966346115983,135,"SO","T26","ABS"
"103","SO_T26_PLA",8.98060559691084,107,"SO","T26","PLA"
"104","SO_T26_CopperPLA",7.35499160298123,125,"SO","T26","CopperPLA"
"105","SO_T26_CopperPipe",6.47971843131198,167,"SO","T26","CopperPipe"
"106","SO_T27_Lizard",35.7608677245954,160,"SO","T27","Lizard"
"107","SO_T27_ABS",37.0774671708599,214,"SO","T27","ABS"
"108","SO_T27_PLA",37.4794983490453,112,"SO","T27","PLA"
"109","SO_T27_CopperPLA",34.0644596880428,56,"SO","T27","CopperPLA"
"110","SO_T27_CopperPipe",35.9831436117335,190,"SO","T27","CopperPipe"
"111","PM_T1_Lizard",20.5138292527367,28,"PM","T1","Lizard"
"112","PM_T1_CopperPLA",20.1852983089607,11,"PM","T1","CopperPLA"
"113","PM_T1_PLA",19.8080918579495,8,"PM","T1","PLA"
"114","PM_T1_ABS",19.8680502234991,7,"PM","T1","ABS"
"115","PM_T2_Lizard",23.2404993147281,67,"PM","T2","Lizard"
"116","PM_T2_CopperPLA",22.8575204587906,26,"PM","T2","CopperPLA"
"117","PM_T2_PLA",21.7681451800606,10,"PM","T2","PLA"
"118","PM_T2_ABS",21.7082236158196,9,"PM","T2","ABS"
"119","PM_T3_Lizard",26.3449569212745,76,"PM","T3","Lizard"
"120","PM_T3_CopperPLA",27.1107250574337,41,"PM","T3","CopperPLA"
"121","PM_T3_PLA",25.5942529940136,48,"PM","T3","PLA"
"122","PM_T3_ABS",27.0384418909889,40,"PM","T3","ABS"
"123","PM_T4_Lizard",29.635391348162,94,"PM","T4","Lizard"
"124","PM_T4_CopperPLA",31.126937782281,52,"PM","T4","CopperPLA"
"125","PM_T4_PLA",27.2828171233788,45,"PM","T4","PLA"
"126","PM_T4_ABS",26.0207373207459,45,"PM","T4","ABS"
"127","PM_T5_Lizard",31.5719282117266,45,"PM","T5","Lizard"
"128","PM_T5_CopperPLA",30.954166516883,40,"PM","T5","CopperPLA"
"129","PM_T5_PLA",29.0135632060264,38,"PM","T5","PLA"
"130","PM_T5_ABS",30.3529827231636,31,"PM","T5","ABS"
"131","PM_T6_Lizard",35.6549856200191,80,"PM","T6","Lizard"
"132","PM_T6_CopperPLA",39.1823163417865,115,"PM","T6","CopperPLA"
"133","PM_T6_PLA",35.1611077030985,80,"PM","T6","PLA"
"134","PM_T6_ABS",37.7515178227123,114,"PM","T6","ABS"
"135","PM_T7_Lizard",24.9053578160913,66,"PM","T7","Lizard"
"136","PM_T7_CopperPLA",23.5496377449896,14,"PM","T7","CopperPLA"
"137","PM_T7_PLA",23.6573441980575,15,"PM","T7","PLA"
"138","PM_T7_ABS",24.5072797581082,21,"PM","T7","ABS"
"139","PM_T8_Lizard",24.4055887736768,60,"PM","T8","Lizard"
"140","PM_T8_CopperPLA",24.0006420891654,21,"PM","T8","CopperPLA"
"141","PM_T8_PLA",23.1493060537488,38,"PM","T8","PLA"
"142","PM_T8_ABS",23.6207179527852,25,"PM","T8","ABS"
"143","PM_T9_Lizard",24.2767370100112,91,"PM","T9","Lizard"
"144","PM_T9_CopperPLA",23.4475055995139,24,"PM","T9","CopperPLA"
"145","PM_T9_PLA",23.1839184874605,21,"PM","T9","PLA"
"146","PM_T9_ABS",23.995075374082,37,"PM","T9","ABS"
"147","PM_T10_Lizard",24.6868237572533,79,"PM","T10","Lizard"
"148","PM_T10_CopperPLA",24.2996746570418,18,"PM","T10","CopperPLA"
"149","PM_T10_PLA",24.5163528576535,1,"PM","T10","PLA"
"150","PM_T10_ABS",24.4861928664191,11,"PM","T10","ABS"
"151","PM_T11_Lizard",35.5764385494529,123,"PM","T11","Lizard"
"152","PM_T11_CopperPLA",33.0263969901596,46,"PM","T11","CopperPLA"
"153","PM_T11_PLA",33.2920893996058,47,"PM","T11","PLA"
"154","PM_T11_ABS",32.3815330389343,41,"PM","T11","ABS"
"155","PM_T12_Lizard",34.4019369643929,108,"PM","T12","Lizard"
"156","PM_T12_CopperPLA",34.7363968772371,26,"PM","T12","CopperPLA"
"157","PM_T12_PLA",34.0933652646618,42,"PM","T12","PLA"
"158","PM_T12_ABS",34.4725214334887,38,"PM","T12","ABS"
"159","AS_T5_PLA",NA,NA,"AS","T5","PLA"
"160","AS_T5_ABS",28.524999873183,1,"AS","T5","ABS"
"161","AS_T5_CopperPLA",28.6987258652394,2,"AS","T5","CopperPLA"
"162","AS_T5_Lizard",29.4133039008729,18,"AS","T5","Lizard"
"163","AS_T6_PLA",NA,NA,"AS","T6","PLA"
"164","AS_T6_ABS",30.3995453266297,1,"AS","T6","ABS"
"165","AS_T6_CopperPLA",29.317658762186,1,"AS","T6","CopperPLA"
"166","AS_T6_Lizard",NA,NA,"AS","T6","Lizard"
"167","AS_T7_PLA",28.9051963956775,11,"AS","T7","PLA"
"168","AS_T7_ABS",28.9343209181396,10,"AS","T7","ABS"
"169","AS_T7_CopperPLA",29.0381526371694,8,"AS","T7","CopperPLA"
"170","AS_T7_Lizard",27.8033777455361,21,"AS","T7","Lizard"
"171","AS_T8_PLA",27.9385949798799,11,"AS","T8","PLA"
"172","AS_T8_ABS",27.6605867959277,9,"AS","T8","ABS"
"173","AS_T8_CopperPLA",28.0472605136285,11,"AS","T8","CopperPLA"
"174","AS_T8_Lizard",27.5003185670178,54,"AS","T8","Lizard"
"175","AS_T9_PLA",27.0570738164337,4,"AS","T9","PLA"
"176","AS_T9_ABS",26.8655643457813,7,"AS","T9","ABS"
"177","AS_T9_CopperPLA",26.9161650221792,3,"AS","T9","CopperPLA"
"178","AS_T9_Lizard",NA,NA,"AS","T9","Lizard"
"179","AS_T10_PLA",26.8335285467456,17,"AS","T10","PLA"
"180","AS_T10_ABS",26.7718225069696,18,"AS","T10","ABS"
"181","AS_T10_CopperPLA",26.8428655137988,12,"AS","T10","CopperPLA"
"182","AS_T10_Lizard",26.3571499388035,32,"AS","T10","Lizard"
"183","AS_T11_PLA",26.0056288169251,12,"AS","T11","PLA"
"184","AS_T11_ABS",25.8875175201607,17,"AS","T11","ABS"
"185","AS_T11_CopperPLA",25.896216897126,13,"AS","T11","CopperPLA"
"186","AS_T11_Lizard",25.8918489708462,36,"AS","T11","Lizard"
"187","AS_T12_PLA",26.1344832150385,16,"AS","T12","PLA"
"188","AS_T12_ABS",26.2357386835772,15,"AS","T12","ABS"
"189","AS_T12_CopperPLA",26.3965118362614,13,"AS","T12","CopperPLA"
"190","AS_T12_Lizard",25.95676861864,9,"AS","T12","Lizard"
"191","AS_T13_PLA",26.0234397398491,20,"AS","T13","PLA"
"192","AS_T13_ABS",26.1728713981999,22,"AS","T13","ABS"
"193","AS_T13_CopperPLA",26.2086716376644,17,"AS","T13","CopperPLA"
"194","AS_T13_Lizard",25.9973244751776,39,"AS","T13","Lizard"
"195","AS_T14_PLA",26.7644729014602,23,"AS","T14","PLA"
"196","AS_T14_ABS",26.7971013078437,22,"AS","T14","ABS"
"197","AS_T14_CopperPLA",26.9592540562568,20,"AS","T14","CopperPLA"
"198","AS_T14_Lizard",26.6595013010874,37,"AS","T14","Lizard"
"199","AS_T15_PLA",26.924271178069,14,"AS","T15","PLA"
"200","AS_T15_ABS",27.0196321271769,13,"AS","T15","ABS"
"201","AS_T15_CopperPLA",26.9358513141344,12,"AS","T15","CopperPLA"
"202","AS_T15_Lizard",26.8510525211962,35,"AS","T15","Lizard"
"203","AS_T16_PLA",27.7222951977081,10,"AS","T16","PLA"
"204","AS_T16_ABS",27.6706501024042,9,"AS","T16","ABS"
"205","AS_T16_CopperPLA",27.7169536539971,9,"AS","T16","CopperPLA"
"206","AS_T16_Lizard",27.3522475319367,35,"AS","T16","Lizard"
"207","AS_T17_PLA",27.1372479523412,4,"AS","T17","PLA"
"208","AS_T17_ABS",27.328199863029,3,"AS","T17","ABS"
"209","AS_T17_CopperPLA",27.3331001609936,4,"AS","T17","CopperPLA"
"210","AS_T17_Lizard",27.3271740468626,9,"AS","T17","Lizard"
"211","AS_T18_PLA",26.999623274522,26,"AS","T18","PLA"
"212","AS_T18_ABS",27.0395542419404,23,"AS","T18","ABS"
"213","AS_T18_CopperPLA",27.0652265533626,23,"AS","T18","CopperPLA"
"214","AS_T18_Lizard",26.5988566014941,51,"AS","T18","Lizard"
"215","AS_T19_PLA",27.4013133983026,15,"AS","T19","PLA"
"216","AS_T19_ABS",27.0171516101631,27,"AS","T19","ABS"
"217","AS_T19_CopperPLA",27.633839095367,46,"AS","T19","CopperPLA"
"218","AS_T19_Lizard",26.050093255108,1,"AS","T19","Lizard"
"219","AS_T20_PLA",28.0640026566534,23,"AS","T20","PLA"
"220","AS_T20_ABS",28.0031210423426,27,"AS","T20","ABS"
"221","AS_T20_CopperPLA",28.2802960557269,31,"AS","T20","CopperPLA"
"222","AS_T20_Lizard",28.005645522647,82,"AS","T20","Lizard"
"223","AS_T21_PLA",28.6505093149669,13,"AS","T21","PLA"
"224","AS_T21_ABS",28.5057362172868,11,"AS","T21","ABS"
"225","AS_T21_CopperPLA",28.6081923723638,14,"AS","T21","CopperPLA"
"226","AS_T21_Lizard",28.162838385654,35,"AS","T21","Lizard"
"227","AS_T22_PLA",29.027503095774,25,"AS","T22","PLA"
"228","AS_T22_ABS",28.9973882127675,30,"AS","T22","ABS"
"229","AS_T22_CopperPLA",28.936369855271,30,"AS","T22","CopperPLA"
"230","AS_T22_Lizard",28.910082058236,79,"AS","T22","Lizard"
"231","AG_T1_PLA",NA,NA,"AG","T1","PLA"
"232","AG_T1_ABS",NA,NA,"AG","T1","ABS"
"233","AG_T1_CopperPLA",27.5480587811678,1,"AG","T1","CopperPLA"
"234","AG_T1_Lizard",29.8069298228333,23,"AG","T1","Lizard"
"235","AG_T2_PLA",NA,NA,"AG","T2","PLA"
"236","AG_T2_ABS",NA,NA,"AG","T2","ABS"
"237","AG_T2_CopperPLA",NA,NA,"AG","T2","CopperPLA"
