,Curves,eqTemp,eqTime,Species,Trial,OTM,Fit,Incl_eqTime,LizardTemp,LizardTime,DevT,Abs_DevT
326,AG_T28_PLA,22.5748988,14,AG,T28,PLA,y,y,22.36617182,59,-0.20872698,0.20872698
328,AG_T29_CopperPLA,25.9723739,51,AG,T29,CopperPLA,y,y,28.21659266,186,2.24421876,2.24421876
329,AG_T29_ABS,25.7285896,29,AG,T29,ABS,y,y,28.21659266,186,2.48800306,2.48800306
330,AG_T29_PLA,26.18531538,30,AG,T29,PLA,y,y,28.21659266,186,2.03127728,2.03127728
332,AG_T30_CopperPLA,26.22647083,14,AG,T30,CopperPLA,y,y,26.47764451,84,0.25117368,0.25117368
333,AG_T30_ABS,25.63916639,10,AG,T30,ABS,y,y,26.47764451,84,0.83847812,0.83847812
334,AG_T30_PLA,25.63770059,12,AG,T30,PLA,y,y,26.47764451,84,0.83994392,0.83994392
336,AG_T31_CopperPLA,25.41208239,10,AG,T31,CopperPLA,y,y,25.77152902,61,0.35944663,0.35944663
337,AG_T31_ABS,26.42209526,6,AG,T31,ABS,y,y,25.77152902,61,-0.65056624,0.65056624
338,AG_T31_PLA,25.56246549,8,AG,T31,PLA,y,y,25.77152902,61,0.20906353,0.20906353
340,AG_T32_CopperPLA,25.00652972,10,AG,T32,CopperPLA,y,y,25.07686878,77,0.07033906,0.07033906
341,AG_T32_ABS,25.6777724,17,AG,T32,ABS,y,y,25.07686878,77,-0.60090362,0.60090362
342,AG_T32_PLA,24.62596582,5,AG,T32,PLA,y,y,25.07686878,77,0.45090296,0.45090296
344,AG_T33_CopperPLA,23.72827171,17,AG,T33,CopperPLA,y,y,23.65791362,36,-0.07035809,0.07035809
345,AG_T33_ABS,23.6110668,10,AG,T33,ABS,y,y,23.65791362,36,0.04684682,0.04684682
346,AG_T33_PLA,23.21414425,11,AG,T33,PLA,y,y,23.65791362,36,0.44376937,0.44376937
348,AG_T34_CopperPLA,27.0278795,28,AG,T34,CopperPLA,y,y,25.92635153,96,-1.10152797,1.10152797
349,AG_T34_ABS,27.18538477,33,AG,T34,ABS,y,y,25.92635153,96,-1.25903324,1.25903324
350,AG_T34_PLA,27.18146638,34,AG,T34,PLA,y,y,25.92635153,96,-1.25511485,1.25511485
352,AG_T35_CopperPLA,26.70458248,16,AG,T35,CopperPLA,y,y,25.92635153,96,-0.77823095,0.77823095
353,AG_T35_ABS,26.81713288,19,AG,T35,ABS,y,y,25.92635153,96,-0.89078135,0.89078135
354,AG_T35_PLA,26.97927371,12,AG,T35,PLA,y,y,25.92635153,96,-1.05292218,1.05292218
356,AG_T36_CopperPLA,25.70194132,22,AG,T36,CopperPLA,y,y,25.28404492,72,-0.4178964,0.4178964
357,AG_T36_ABS,25.94538749,17,AG,T36,ABS,y,y,25.28404492,72,-0.66134257,0.66134257
358,AG_T36_PLA,26.01021577,6,AG,T36,PLA,y,y,25.28404492,72,-0.72617085,0.72617085
360,AG_T37_CopperPLA,24.82375477,18,AG,T37,CopperPLA,y,y,24.60764563,55,-0.21610914,0.21610914
361,AG_T37_ABS,24.8954275,16,AG,T37,ABS,y,y,24.60764563,55,-0.28778187,0.28778187
362,AG_T37_PLA,24.85425186,15,AG,T37,PLA,y,y,24.60764563,55,-0.24660623,0.24660623
364,AG_T38_CopperPLA,24.38116049,12,AG,T38,CopperPLA,y,y,24.0683436,52,-0.31281689,0.31281689
365,AG_T38_ABS,24.2548193,12,AG,T38,ABS,y,y,24.0683436,52,-0.1864757,0.1864757
366,AG_T38_PLA,24.44067212,13,AG,T38,PLA,y,y,24.0683436,52,-0.37232852,0.37232852
368,AC_T39_CopperPLA,26.16509905,19,AC,T39,CopperPLA,y,y,25.52576129,55,-0.63933776,0.63933776
369,AC_T39_ABS,26.20229515,16,AC,T39,ABS,y,y,25.52576129,55,-0.67653386,0.67653386
370,AC_T39_PLA,26.21597524,16,AC,T39,PLA,y,y,25.52576129,55,-0.69021395,0.69021395
372,AG_T40_CopperPLA,26.78896815,18,AG,T40,CopperPLA,y,y,26.95588122,120,0.16691307,0.16691307
373,AG_T40_ABS,26.88614368,17,AG,T40,ABS,y,y,26.95588122,120,0.06973754,0.06973754
374,AG_T40_PLA,26.91529578,16,AG,T40,PLA,y,y,26.95588122,120,0.04058544,0.04058544
376,AG_T41_CopperPLA,27.1986255,15,AG,T41,CopperPLA,y,y,27.10079183,109,-0.09783367,0.09783367
377,AG_T41_ABS,27.20016475,15,AG,T41,ABS,y,y,27.10079183,109,-0.09937292,0.09937292
378,AG_T41_PLA,27.14918542,17,AG,T41,PLA,y,y,27.10079183,109,-0.04839359,0.04839359
380,AC_T42_CopperPLA,26.49404855,15,AC,T42,CopperPLA,y,y,26.54696886,48,0.05292031,0.05292031
381,AC_T42_ABS,27.27659391,13,AC,T42,ABS,y,y,26.54696886,48,-0.72962505,0.72962505
382,AC_T42_PLA,27.04826893,14,AC,T42,PLA,y,y,26.54696886,48,-0.50130007,0.50130007
